hotel_id,rate,review_title
0,1.0,ne mérite pas NEG 5 étoile tout juste 3 restaurer très décevant tout être trop cher ...... chambre digne 3 étoile moisissure joint baignoire sèche cheveux ne NEG tenir pas NEG support ...... emplacement être très agréable être vrai avoir avoir serviette tacher transt plastique pas NEG nikel vestiaire plage pas NEG crochet poser affaire afin changer ..... bref tout être surpayer déconseille fortement hôtel
0,3.0,prémices déclin habitué depuis quelque année LUX*Saint Gilles avoir habitude long week end quiétude afin trouver apaisement réconfort gourmandis établissement standing près chez malheureusement force être constater cachet dont pouvoir prévaloir établissement auparavant perdre significativement attrait effet avoir cesse remarquer signe déclin successif premier lieu matériellement ensembl équipement chambre commencer véritablement souffrir sans NEG compte trace rouille humidité certain endroit qualité déplorable équipement télé digne 90 n’ être pas NEG digne établissement 5 étoile téléphone chambre ne NEG marcher pas NEG quand avoir appeler réception téléphone portable problème avoir être signaler n’ être venir idée personne proposer arranger problème coup chaque fois rebelotte joindre réception appeler gsm cela n’ avoir heurter sensibilité personne apparement ensuite prestation proposer covid avoir dos large mini bar être vider n’ trouver plus qu’ bouteille eau bar carte vin verre réduire seul unité rouge roser blanc puis proposer beaujolais uniquement rouge encore fois pas NEG niveau 5 étoile pétale fleur peu partout c’ être chic certes beaucoup moins quand être faner dépérissement enfin professionnalisme staff être passer grand professionnalisme tout performance inégal chacun certain aller tout faire porter satisfaction lorsque carence plus mini bar ne NEG être pas NEG fait D’ autre aller juste renvoyer sans NEG honte vers autre service juste être antipathique aussi bien attitude parole Au Check out n’ avoir pas NEG avoir droit semblant intérêt savoir question pose 2 étoile    «    être tout s’ être bien passer    » réponse avoir éviter j’ écriv ceci ici aujourd’hui avoir quelque année exister encore quelque considération habitué visiteur passage comme avoir être premier fois où être venir a présent plus rien c’ être impersonnel parfois désagréable celui n’ avoir pas NEG connaître LUX avant celui avoir connaître c’ être triste parfois lamentable qualité avoir brusquement chuter tite fleur fané …
0,4.0,très bon moment détente chambre être spacieuser confortable calme piscine être magnifique personnel être serviable accueillant petit déjeuner être très bon vraiment complet lorsque j’ avoir être lors week end animation musical être très agréable revenir
0,3.0,belle emplacement tout être vieillissant n' être pas NEG revenir hotel Lux depuis 2014 avoir avoir étrange sensation voir rien n' avoir changer tout avoir vieillir si Wifi fonctionne bien système tv hors âge ne NEG dispense chaîne enneiger propreté leiu n' être plus parfait bon gros dépoussièrage être nécéssair enfin aménagement chambre dater n' avoir pas NEG évoluer prise courir ne NEG tenir plus mur salle bain hors âge ....
0,5.0,accueil attentionner occasion anniversaire mariage avoir faire court séjour double surprise car avoir abord être surclasser Au retour plage bouteille vin pétillant attendre seau glace accompagner petit présent attention personnel charmer avoir faire apprécier moment merci Eric Laurent équipe
0,3.0,prémices déclin habitué depuis quelque année LUX*Saint Gilles avoir habitude long week end quiétude afin trouver apaisement réconfort gourmandis établissement standing près chez malheureusement force être constater cachet dont pouvoir prévaloir établissement auparavant perdre significativement attrait effet avoir cesse remarquer signe déclin successif premier lieu matériellement ensembl équipement chambre commencer véritablement souffrir sans NEG compte trace rouille humidité certain endroit qualité déplorable équipement télé digne 90 n’ être pas NEG digne établissement 5 étoile téléphone chambre ne NEG marcher pas NEG quand avoir …
0,1.0,décevoir 5 étoile venir passer week end LUX Saint Gilles 974 être très déçu accueil froid manqu entretien carreau casser piscine allée fauteuil plage parasols piteux état ...... télévision wi fi ne NEG fonctionner pas NEG chambre ne mérite pas NEG 5 étoile prix pratiquer dommage car bénéficier cadre exceptionnel Vanda
0,4.0,cadre magnifique super hôtel cadre magnifique grand bel piscine petit déjeuner copieux très large choix personnel accueillant toujours souriant seul bémol 5 étoile chambre restent basique manqu transat auprès piscine car gens bloquer transat pendant heure partir faire tour pénaliser autre mise part cela avoir passer super moment mari revenir certainement
0,5.0,weekend rêve être suite anniversaire trop beau avoir avoir adorer accueil être très gentil très professionnel avoir avoir adorer restaurant page être juste top Super petit déjeuner servir également massage duo être petit cerise gâteau vraiment exceptionnel recommande merci avoir tout équipe avoir revenir
0,5.0,Superbe hotel manifiqu cadre excellent accueil très bien conseiller choix chambre être suite deux garçon suite être magnifique baignoire douche adapter personne mobilité réduit dommage avoir pas NEG siège douche sinon massage être exceller repas petit déjeuner copieux gourmand dire plus autre être excellent week end
0,5.0,super moment famille .. recommande magnifique séjour .. Piscine enfant avoir adorer .. merci ensemble personnel être petit soin écoute plus particulièrement Isabelle accueil rieul petit attention chambre être magnifique super confortable 🥰 .. très bientôt .. merci tata biscotte avoir conseiller ..
0,5.0,hotel 5 étoile pied lagon bleu magnifique hotel prestation remarquable service irréprochable excellent petit-déjeuner très bon restaurant midi soir 3 restaurant plus bar avoir célébrer anniversaire mariage tout être parfaire comme habitude beaucoup attention particulier avoir rendre séjour inoubliable agir 4èm séjour hotel revenir certainement
0,5.0,week end entre copine week end être prévoir Maurice donc annulé via agence voyage avoir décider passer Lux être 4 copine gym .... super moment détente personnel être très professionnel accueil arrivée comme départ rien dire .... barman coktail top Axel serveur plage kiosque glace personnel restaurant .... mention spécial Henri Ibrahim très ému avoir connaître enfant revoir établissement trentaine année plus tard .... Bravo félicitation tout équipe hôtel zéro faute .... être fier tant réunionnaise voir qu' avoir réunion hôtel pouvoir satisfaire autant Maurice être champion matière .... vendredi …
0,5.0,bel parenthèse improvisee toujours plaisir passer séjour bel structure séjour improviser dernier minute grâce promo très attirant merci lux chambre toujours impeccable buffet dîner petit dej très complet grand merci surtout personnel avoir prendre grand soin équipe là bagagerie avoir être très disponible véhiculer être béquille équipe snack plage merci Kevin conseil barmaid préparer rhum arranger équipe accueil cerise gâteau avoir bel attention fidélité re-merci lux bref avoir adorer revenir
0,4.0,cadre magnifique point fort personnel professionnel souriant serviable écoute cadre bord mer apaiser chambre propre literie très spacieux confortable piscine terrasse alentours rendre cadre très agréable petit déjeuner correct point faible qualité image télé décevoir 5 étoile difficulté connecter wifi place parking peu étroite dommage qu’ n’ avoir pas NEG jacuzzi spa tarif peu élevé bar cocktail fruit frais c’ être simple jus oranger ananer ne NEG pourrai pas NEG juger repas car n’ avoir pas NEG diner
0,3.0,Surprise Équipe réactif agréable bon accueil être vrai niveau inférieur 5 étoile Maurice cour équipement désuet bel grand piscine beaucoup effort rapport contexte Covid
0,5.0,faire toujours maximum être bientôt dixième séjour Lux chacun avoir être moment bonheur famille circonstance confinement comme dur moment couvre-feu novembre 2018 capacité équipe chouchouter hôte plus difficile circonstance faire endroit lieu exceptionnel où construire souvenir garder toujours mémoire souci bien être hôte être engagement bien sûr direction delà tout collaborateur équipe chambre toujours prêt rendre service supplémentaire réception écoute besoin tout équipe bar merveilleux moment autour cocktail glace restaurant mention spécial …
0,5.0,merci a cause coronavirus avoir devoir annuler voyage prévoir 13 mars direction Lux avoir très aimablement accepter repousser séjour merci geste commercial prouver équipe hotel LUX être ecoute client bientôt
0,5.0,excellent super hôtel faire voyager lors séjour grand piscine grand chambre propre spacieux accès direct plage restaurant plat feu bois excellent petit déjeuner parfaire recommande
0,4.0,tré bel plage être bel hotel charme bel plage sable blanc piscine bon taille grand chambre baigner lumière staff être adorable juste ménage être pas NEG tout jour trer soigné hotel 5 étoile garder excellent souvenir
