hotel_id,rate,title,review
0,1.0,Décevant pour un 5 étoiles,"Nous venons de passer un week end au LUX Saint Gilles 974 et sommes très déçus. Accueil froid, manque entretien, carreau cassé dans la piscine et dans les allées fauteuils de plage et parasols en piteux état...... Télévision et wi-fi ne fonctionnant pas dans la chambre. Ne mérite pas ses 5 étoiles et les prix pratiqués; dommage car ils bénéficient d'un cadre exceptionnel. Vanda."
0,4.0,Cadre magnifique,"Super hôtel, cadre magnifique, grande et belle piscine, petit déjeuner copieux avec un très large choix, personnel accueillant et toujours souriant. Seul bémol, pour un 5 étoiles les chambres restent basiques et manque de transat auprès de la piscine car les gens bloquent  les transats pendant des heures en partant  faire  leurs tours et pénalisent les autres. Mise à part cela On a passé un super moment avec mon mari, nous reviendrons certainement"
0,5.0,weekend de rêve!!,"Nous étions dans une suite pour notre anniversaire!! trop beau ont a adoré. L'accueil était très gentil et très  professionnel et ont a adoré le restaurant de la page est juste top. Super petit déjeuner servi également.  Les massages en duo était la petite cerise sur le gâteau, vraiment exceptionnel, je recommande. Merci a toutes l'équipe ont reviendra."
0,5.0,Superbe hotel  manifique cadre,"Excellent accueil, très bien conseiller pour le choix de chambre. J'étais dans une suite avec mes deux garçons, la suite était magnifique avec baignoire et douche. Adapté pour les personnes à mobilité réduite mais dommage qu'il y avait pas de siège de douche sinon les massages sont excellent de même pour les repas. Petit déjeuner copieux et gourmand que dire de plus d'autre que c'était un excellent week-end."
0,5.0,Super moment en famille.. Je recommande !,"Magnifique séjour.. La Piscine 😍 : les enfants ont adorés.. Merci à l'ensemble du personnel qui était au petit soin et à l'écoute mais plus particulièrement à Isabelle pour ton accueil ; Rieul pour les petites attentions, la chambre était magnifique et super confortable 🥰.. À très bientôt.. Merci ""tata biscotte"" de m'avoir conseillé.. 😜"
0,1.0,Décevant pour un 5 étoiles,"Nous venons de passer un week end au LUX Saint Gilles 974 et sommes très déçus. Accueil froid, manque entretien, carreau cassé dans la piscine et dans les allées fauteuils de plage et parasols en piteux état...... Télévision et wi-fi ne fonctionnant pas dans la chambre. Ne mérite pas ses 5 étoiles et les prix pratiqués; dommage car ils bénéficient d'un cadre exceptionnel. Vanda."
0,4.0,Cadre magnifique,"Super hôtel, cadre magnifique, grande et belle piscine, petit déjeuner copieux avec un très large choix, personnel accueillant et toujours souriant. Seul bémol, pour un 5 étoiles les chambres restent basiques et manque de transat auprès de la piscine car les gens bloquent  les transats pendant des heures en partant  faire  leurs tours et pénalisent les autres. Mise à part cela On a passé un super moment avec mon mari, nous reviendrons certainement"
0,5.0,weekend de rêve!!,"Nous étions dans une suite pour notre anniversaire!! trop beau ont a adoré. L'accueil était très gentil et très  professionnel et ont a adoré le restaurant de la page est juste top. Super petit déjeuner servi également.  Les massages en duo était la petite cerise sur le gâteau, vraiment exceptionnel, je recommande. Merci a toutes l'équipe ont reviendra."
0,5.0,Superbe hotel  manifique cadre,"Excellent accueil, très bien conseiller pour le choix de chambre. J'étais dans une suite avec mes deux garçons, la suite était magnifique avec baignoire et douche. Adapté pour les personnes à mobilité réduite mais dommage qu'il y avait pas de siège de douche sinon les massages sont excellent de même pour les repas. Petit déjeuner copieux et gourmand que dire de plus d'autre que c'était un excellent week-end."
0,5.0,Super moment en famille.. Je recommande !,"Magnifique séjour.. La Piscine 😍 : les enfants ont adorés.. Merci à l'ensemble du personnel qui était au petit soin et à l'écoute mais plus particulièrement à Isabelle pour ton accueil ; Rieul pour les petites attentions, la chambre était magnifique et super confortable 🥰.. À très bientôt.. Merci ""tata biscotte"" de m'avoir conseillé.. 😜"
0,5.0,Hotel 5 étoiles les pieds dans le lagon bleu,Magnifique hotel aux prestations remarquables et au service irréprochable.   Excellent petit-déjeuner et très bons restaurants pour le midi ou pour le soir (3 restaurants + le bar)  Nous y avons célébré notre anniversaire de mariage et tout était parfait comme d'habitude! Beaucoup d'attentions particulières qui ont rendu notre séjour inoubliable.  Il s'agissait de notre 4ème séjour dans cet hotel et nous y reviendrons certainement.
0,5.0,Week-end entre copines,"Notre week-end était prévu à Maurice, donc annulé...via l'agence de voyage, nous avons décidé de le passer au Lux.  Nous étions 4 copines de gym....Super moment de détente, le personnel est très professionnel : l'accueil à l'arrivée comme au départ, rien à dire...., les barmans (coktails top d'Axel), les serveurs de plage, au kiosque des glaces...le personnel des restaurants....une mention spéciale à Henri et à Ibrahim (très émue de l'avoir connu enfant et le revoir dans cet établissement une trentaine d'années plus tard) ....Bravo et Félicitations à toute l'équipe de cet hôtel, pour moi Zéro faute....je suis fière en tant que réunionnaise  de voir qu'a la Réunion un Hôtel peut nous satisfaire autant qu'un de Maurice qui sont les champions en la matière....  De vendredi à…"
0,5.0,Une belle parenthèse improvisee ,"Toujours un plaisir de passer un séjour dans cette belle structure! Séjour improvisé en dernière minute grâce à une promo très attirante (merci Le Lux !) La chambre toujours impeccable, les buffets dîners et petits dej très complets. Un grand merci surtout au personnel qui a pris grand soin de nous, l équipe de là bagagerie qui a été très disponible pour nous véhiculer (étant en béquille), l équipe du snack de plage (merci Kevin!), les conseils du barmaid pour préparer des rhums arrangés et l équipe de l accueil! Et... Cerise sur le gâteau, nous avons une belle attention pour notre fidélité (re-merci Le Lux !!). En bref, on a adoré, on y reviendra ! "
